date,bodyweight_kg,bodyfat_pct,notes
2026-01-23,82.6,22,Test morning fasted; slept poorly
2026-01-24,84.2,21.5,Test morning fasted
2026-01-25,84.9,,Strangly it is increasing
2026-01-26,84,,
2026-01-27,82.8,,I use old scale still - results can vary
2026-01-28,83.6,,
2026-01-29,83.1,,
2026-01-30,83.1,,The same weight
2026-01-31,83.7,,Always weight in the morning
2026-02-01,82,,Strange scale
2026-02-06,82.67,21.1,New Scale Withings Body Smart. Calculated after meal
2026-02-07,81.5,20.1,Test morning fasted
2026-02-08,81.9,20.4,
2026-02-09,82.5,20.7,Test morning before wc
2026-02-10,82.35,20.7,Test morning before wc
2026-02-11,82.05,20.6,Test morning fasted
2026-02-12,81.6,20.7,Test morning fasted (fat Thursday today)
2026-02-13,81.95,20.8,Test morning fasted
2026-02-14,81.7,21,Test morning fasted
2026-02-15,81.55,20.3,After Saturday in Wro (less eat + small wine)
2026-02-16,82.6,21,Morning after wekend + wine
2026-02-17,81.25,20.7,"supper not ate, fasted"
2026-02-18,82.4,21,Morning fasted
2026-02-19,81.56,20.6,Morning fasted. Yesterday's first meal at 18PM
2026-02-20,81.25,20.4,Morning fasted
2026-02-21,81.4,20.4,
